ID,f_Seq,RAh,RAm,RAs,DEd,DEm,DEs,Rad,Diam,F(Ha),F([SII]),F([OIII]),[SII]/Ha,[OIII]/Ha,X,OName
195,,13,37,9.22,-29,51,33.6,2.5,1.7,12.7,9.2,3.1,0.72,0.24,y,D10-34;L348
33,,13,36,49.69,-29,54,4.2,4.4,1.8,12.4,9.7,2.3,0.78,0.19,n,BL10
32,,13,36,49.67,-29,50,34.7,4.1,3.0,12.3,6.0,1.9,0.49,0.16,n,
139,,13,37,1.16,-29,57,10.7,7.4,2.4,12.2,8.6,8.6,0.7,0.71,n,BL34
172,,13,37,6.44,-29,54,27.3,4.1,2.1,12.2,8.9,12.7,0.73,1.04,n,BL48
59,,13,36,52.55,-29,49,33.1,4.4,2.4,11.9,5.3,6.2,0.45,0.52,n,
74,,13,36,54.15,-29,52,9.3,2.1,1.6,11.8,7.3,8.0,0.62,0.68,y,BL15;SW022;L119
49,,13,36,51.02,-29,53,1.1,3.3,1.1,11.3,6.2,3.2,0.55,0.28,n,
70,,13,36,53.51,-29,52,38.1,2.4,2.7,11.2,9.7,2.8,0.86,0.25,n,
128,,13,37,0.03,-29,48,33.5,4.8,2.3,11.2,5.8,0.9,0.52,0.08,n,
3,,13,36,40.9,-29,51,17.7,6.3,1.3,11.1,6.7,4.3,0.6,0.39,y,SW001; L019
112,,13,36,57.15,-29,53,34.0,2.5,2.6,11.0,12.2,5.9,1.11,0.53,n,BL28
176,,13,37,6.98,-29,54,16.6,3.9,3.7,11.0,7.9,0.0,0.72,0.0,n,
132,,13,37,0.33,-29,51,20.8,0.9,1.9,10.9,7.4,11.6,0.68,1.07,n,BL33;D10-07
213,,13,37,13.09,-29,51,18.4,3.7,2.8,10.6,8.3,3.1,0.79,0.29,n,BL64
66,,13,36,53.3,-29,52,42.5,2.5,1.3,10.3,6.8,2.3,0.66,0.23,y,SW018;L107
220,,13,37,16.03,-29,53,4.0,5.0,2.0,10.2,4.4,6.4,0.43,0.63,n,
18,,13,36,47.22,-29,53,36.9,4.6,2.3,10.1,6.1,2.6,0.6,0.26,n,
9,,13,36,43.83,-29,52,11.3,5.2,2.4,10.0,7.3,2.1,0.74,0.21,n,BL01
339,,13,37,14.3,-29,50,0.8,4.7,1.9,9.9,1.8,15.2,0.18,1.53,n,
198,,13,37,10.19,-29,50,18.1,3.5,2.1,9.8,5.2,0.4,0.53,0.04,n,
148,,13,37,2.32,-29,50,7.0,2.5,2.4,9.7,6.2,6.9,0.64,0.71,n,
164,,13,37,4.97,-29,50,16.3,2.5,2.3,9.7,7.0,4.1,0.71,0.42,n,
101,,13,36,55.8,-29,51,19.7,1.8,2.5,9.7,7.1,9.2,0.73,0.95,n,BL25
57,,13,36,52.39,-29,50,43.7,3.2,2.4,9.7,8.6,5.0,0.88,0.51,n,BL13
17,,13,36,47.18,-29,53,51.4,4.8,2.0,9.6,4.9,2.1,0.51,0.22,n,BL04
215,,13,37,13.97,-29,51,51.1,4.0,2.4,9.4,6.1,9.5,0.65,1.02,n,BL66
194,,13,37,9.04,-29,51,33.3,2.5,1.2,9.4,6.2,0.9,0.66,0.1,n,D10-33
182,,13,37,7.57,-29,52,18.9,2.1,1.8,9.4,8.3,5.9,0.88,0.62,n,BL55;D10-23
149,,13,37,2.42,-29,54,33.0,3.8,1.7,8.7,5.3,3.4,0.61,0.39,n,
207,,13,37,11.48,-29,50,13.4,3.8,1.6,8.7,6.1,6.0,0.71,0.69,y,L355
155,,13,37,4.13,-29,53,16.5,2.2,3.0,8.5,6.1,6.0,0.72,0.7,n,
106,,13,36,56.23,-29,52,55.2,1.9,1.2,8.5,5.7,0.8,0.67,0.09,y,SW029;L141
11,,13,36,45.31,-29,53,7.7,4.9,3.3,8.4,7.0,0.4,0.83,0.05,n,
88,,13,36,55.03,-29,51,24.7,2.0,2.6,8.4,7.5,7.2,0.9,0.86,n,BL19
46,,13,36,50.91,-29,52,3.7,3.0,1.4,8.3,7.5,1.9,0.91,0.23,n,
166,,13,37,5.79,-29,52,46.1,2.0,2.6,8.3,5.2,5.4,0.63,0.65,n,D10-18
137,,13,37,1.02,-29,50,56.3,1.4,1.4,8.2,6.0,8.8,0.73,1.07,y,SW066;D10-09;L235
181,,13,37,7.51,-29,54,16.1,4.0,2.1,7.9,8.0,2.9,1.01,0.36,n,BL54
212,,13,37,12.85,-29,54,38.9,5.5,2.7,7.9,5.4,1.2,0.68,0.15,n,
31,,13,36,49.64,-29,53,13.5,3.8,2.8,7.8,6.6,5.6,0.85,0.73,n,
216,,13,37,14.35,-29,50,6.4,4.6,1.9,7.7,5.4,0.7,0.7,0.09,n,
76,,13,36,54.36,-29,50,17.6,3.2,2.3,7.6,6.3,0.4,0.83,0.06,n,
301,,13,36,31.06,-29,55,41.0,10.1,3.2,7.5,3.2,14.5,0.43,1.93,n,
312,,13,36,53.6,-29,56,0.9,6.0,1.7,7.3,2.8,3.7,0.38,0.52,y,SW019;L110
93,,13,36,55.35,-29,50,53.9,2.3,1.4,7.2,4.3,5.2,0.6,0.72,y,L136
144,,13,37,1.72,-29,54,40.4,3.9,1.6,7.0,4.7,5.0,0.68,0.72,y,BL38;L255
165,,13,37,5.59,-29,54,56.3,4.6,2.0,6.8,4.8,5.3,0.71,0.78,n,
126,,13,36,59.67,-29,50,32.9,2.0,2.4,6.8,5.1,2.2,0.75,0.32,n,D10-05
104,,13,36,56.06,-29,56,5.7,5.9,2.6,6.6,5.2,4.5,0.78,0.68,n,
338,,13,37,12.82,-29,54,44.7,5.6,2.4,6.6,3.1,5.5,0.47,0.83,n,
7,,13,36,42.73,-29,52,34.9,5.5,1.3,6.6,5.1,3.0,0.77,0.46,n,
109,,13,36,56.8,-29,49,49.8,3.3,1.1,6.5,5.4,5.5,0.84,0.85,n,
56,,13,36,52.34,-29,50,33.2,3.4,1.9,6.5,4.9,3.4,0.76,0.52,n,BL12
