ID,F(Ha),RAh,RAm,RAs,DEd,DEm,DEs
SNR_96,14.9,23,57,44.2,-32,34,35.9
SNR_115,14.7,23,57,45.2,-32,34,28.7
SNR_40,14.7,23,57,41.6,-32,36,07.2
SNR_78,14.2,23,57,43.4,-32,35,26.4
SNR_108,14.1,23,57,44.8,-32,35,35.4
SNR_71,14.0,23,57,43.2,-32,35,13.5
SNR_135,13.9,23,57,47.0,-32,35,47.8
SNR_167,13.7,23,57,51.0,-32,35,48.2
SNR_185,13.7,23,57,52.5,-32,35,06.1
SNR_3,13.7,23,57,37.6,-32,35,04.7
SNR_187,13.3,23,57,52.7,-32,35,09.7
SNR_180,13.2,23,57,52.2,-32,35,04.1
SNR_212,13.2,23,57,54.9,-32,35,12.0
SNR_95,13.0,23,57,44.1,-32,35,17.8
SNR_45,13.0,23,57,41.9,-32,35,38.1
SNR_84,12.8,23,57,43.5,-32,35,24.3
SNR_189,12.6,23,57,53.1,-32,35,19.9
SNR_151,12.5,23,57,50.1,-32,35,06.1
SNR_128,12.1,23,57,45.9,-32,35,03.5
SNR_150,12.0,23,57,50.0,-32,35,09.2
SNR_131,12.0,23,57,46.5,-32,35,46.3
SNR_4,11.6,23,57,37.6,-32,35,07.7
SNR_30,11.4,23,57,41.2,-32,35,42.9
SNR_106,11.3,23,57,44.7,-32,34,36.5
SNR_69,11.1,23,57,43.0,-32,34,19.7
SNR_8,11.0,23,57,39.1,-32,35,08.0
SNR_157,11.0,23,57,50.3,-32,35,23.3
SNR_11,10.9,23,57,39.4,-32,35,11.0
SNR_48,10.6,23,57,42.0,-32,35,26.0
SNR_153,10.0,23,57,50.1,-32,35,32.6
SNR_201,9.8,23,57,54.2,-32,35,48.1
SNR_22,9.2,23,57,40.9,-32,35,29.8
SNR_27,9.2,23,57,41.1,-32,35,47.1
SNR_122,9.1,23,57,45.4,-32,35,48.3
SNR_7,8.4,23,57,38.6,-32,35,23.9
SNR_221,8.4,23,57,55.7,-32,35,47.8
SNR_164,8.4,23,57,50.9,-32,35,35.1
SNR_101,8.3,23,57,44.4,-32,35,10.3
SNR_134,8.0,23,57,46.8,-32,35,10.3
SNR_33,8.0,23,57,41.3,-32,35,00.9
SNR_186,7.9,23,57,52.6,-32,35,41.5
SNR_102,7.6,23,57,44.5,-32,34,39.1
SNR_143,7.5,23,57,48.4,-32,35,10.6
SNR_216,7.5,23,57,55.5,-32,35,51.5
SNR_6,7.4,23,57,38.5,-32,35,08.9
SNR_68,7.4,23,57,43.0,-32,36,20.3
SNR_238,7.2,23,57,59.0,-32,35,18.8
SNR_15,7.2,23,57,40.2,-32,35,07.6
SNR_139,7.1,23,57,48.0,-32,35,41.5
SNR_118,6.9,23,57,45.2,-32,35,44.4
SNR_213,6.9,23,57,55.2,-32,35,01.6
SNR_156,6.9,23,57,50.3,-32,34,57.6
SNR_169,6.8,23,57,51.3,-32,34,56.6
SNR_90,6.8,23,57,43.9,-32,35,31.3
SNR_109,6.7,23,57,44.8,-32,34,57.7
SNR_113,6.6,23,57,45.0,-32,35,20.3
SNR_116,6.5,23,57,45.2,-32,35,00.2
SNR_104,6.3,23,57,44.6,-32,34,52.7
SNR_202,6.3,23,57,54.2,-32,35,16.2
SNR_44,6.3,23,57,41.9,-32,34,58.6
SNR_37,6.3,23,57,41.5,-32,34,44.8
SNR_35,6.1,23,57,41.3,-32,35,58.5
SNR_181,5.7,23,57,52.3,-32,35,31.9
SNR_217,5.5,23,57,55.5,-32,35,37.3
SNR_182,5.5,23,57,52.3,-32,35,05.2
SNR_125,5.5,23,57,45.6,-32,34,59.9
SNR_175,5.1,23,57,51.6,-32,35,08.1
SNR_64,5.1,23,57,42.9,-32,35,28.4
SNR_93,5.1,23,57,44.0,-32,35,13.6
SNR_224,5.0,23,57,55.9,-32,35,30.4
SNR_226,5.0,23,57,57.1,-32,34,56.0
SNR_86,4.9,23,57,43.7,-32,35,37.3
SNR_229,4.9,23,57,57.7,-32,35,47.2
SNR_209,4.8,23,57,54.8,-32,34,58.5
SNR_72,4.8,23,57,43.2,-32,35,20.8
SNR_158,4.8,23,57,50.4,-32,35,16.4
SNR_120,4.8,23,57,45.3,-32,34,52.4
SNR_62,4.6,23,57,42.8,-32,35,21.1
SNR_14,4.6,23,57,40.1,-32,35,10.9
SNR_208,4.6,23,57,54.6,-32,35,14.9
SNR_119,4.6,23,57,45.2,-32,34,41.8
SNR_231,4.4,23,57,57.9,-32,35,20.5
SNR_74,4.4,23,57,43.3,-32,35,16.4
SNR_80,4.2,23,57,43.4,-32,36,07.1
SNR_54,4.2,23,57,42.3,-32,35,04.2
SNR_219,3.9,23,57,55.6,-32,35,48.0
SNR_154,3.9,23,57,50.2,-32,35,12.9
SNR_230,3.8,23,57,57.8,-32,35,45.8
SNR_214,3.7,23,57,55.3,-32,35,04.4
SNR_98,3.7,23,57,44.2,-32,35,32.0
SNR_81,3.7,23,57,43.4,-32,35,40.4
