SNR_30	23:57:41.2	−32:35:42.9	11.4 ± 0.1	–	−0.56 ± 0.01	−0.65 ± 0.02	–	0.80	n	y	n	n	n	28.53 ± 0.46
SNR_31	23:57:41.2	−32:35:26.4	2.5 ± 0.1	–	−0.64 ± 0.04	−0.73 ± 0.05	–	0.80	n	y	n	n	n	27.90 ± 0.55
SNR_32	23:57:41.2	−32:35:46.7	30.5 ± 0.8	–	−0.39 ± 0.03	−0.70 ± 0.04	–	0.80	y	y	n	n	n	29.44 ± 0.44
SNR_33	23:57:41.3	−32:35:00.9	8.0 ± 0.1	3.54 ± 0.07	−0.49 ± 0.02	−0.72 ± 0.02	0.41 ± 0.03	1.29	n	y	y	y	y	25.32 ± 0.55
SNR_34	23:57:41.3	−32:35:52.7	32.6 ± 0.3	–	−0.55 ± 0.01	−0.66 ± 0.01	–	0.80	n	y	n	n	n	27.20 ± 0.56
SNR_35	23:57:41.3	−32:35:58.5	6.1 ± 0.1	–	−0.56 ± 0.02	−0.84 ± 0.03	–	0.80	n	y	n	n	n	28.94 ± 0.70
SNR_36	23:57:41.5	−32:35:48.8	80.3 ± 0.4	34.80 ± 0.24	−0.89 ± 0.01	−1.06 ± 0.01	0.76 ± 0.01	0.93	n	n	y	y	y	25.66 ± 0.38
SNR_37	23:57:41.5	−32:34:44.8	6.3 ± 0.1	–	−0.51 ± 0.03	−0.69 ± 0.03	–	1.27	n	y	n	n	n	23.48 ± 0.67
SNR_38	23:57:41.5	−32:35:03.3	40.7 ± 0.3	16.86 ± 0.19	−0.17 ± 0.01	−0.61 ± 0.01	0.12 ± 0.02	2.45	y	y	y	y	y	31.01 ± 0.71
SNR_39	23:57:41.6	−32:35:49.9	49.8 ± 0.3	–	−0.52 ± 0.01	−0.63 ± 0.01	–	0.91	n	y	n	n	n	26.64 ± 0.43
SNR_40	23:57:41.6	−32:36:07.2	14.7 ± 0.4	–	−0.56 ± 0.03	−0.87 ± 0.03	–	1.36	n	y	n	n	n	33.78 ± 0.94
SNR_41	23:57:41.7	−32:34:51.0	43.1 ± 0.2	–	−0.63 ± 0.01	−0.69 ± 0.01	–	0.80	n	y	n	n	n	17.20 ± 0.36
SNR_42	23:57:41.7	−32:34:55.9	20.1 ± 0.5	6.91 ± 0.33	−0.53 ± 0.03	−0.98 ± 0.03	−0.18 ± 0.06	1.97	n	y	n	n	y	24.49 ± 0.68
SNR_43	23:57:41.7	−32:34:39.1	2.4 ± 0.1	–	−0.51 ± 0.03	−0.68 ± 0.04	–	0.80	n	y	n	n	n	23.35 ± 0.73
SNR_44	23:57:41.9	−32:34:58.6	6.3 ± 0.1	–	−0.51 ± 0.02	−0.62 ± 0.02	–	1.15	n	y	n	n	n	23.99 ± 0.62
SNR_45	23:57:41.9	−32:35:38.1	13.0 ± 0.2	–	−0.27 ± 0.02	−0.53 ± 0.03	–	1.53	y	y	n	n	n	27.94 ± 0.55
SNR_46	23:57:41.9	−32:34:42.1	26.0 ± 0.3	–	−0.50 ± 0.01	−0.89 ± 0.02	–	2.62	n	y	n	n	n	24.53 ± 0.67
SNR_47	23:57:42.0	−32:35:18.2	3.2 ± 0.1	–	−0.46 ± 0.03	−0.51 ± 0.04	–	0.80	n	y	n	n	n	25.15 ± 0.46
SNR_48	23:57:42.0	−32:35:26.0	10.6 ± 0.1	–	−0.62 ± 0.01	−0.64 ± 0.01	–	0.80	n	y	n	n	n	22.49 ± 0.50
SNR_49	23:57:42.0	−32:35:14.0	45.2 ± 0.2	–	−0.65 ± 0.00	−0.65 ± 0.01	–	1.85	n	y	n	n	n	20.55 ± 0.52
SNR_50	23:57:42.0	−32:36:06.4	1.3 ± 0.1	–	−0.37 ± 0.06	−0.72 ± 0.07	–	0.80	y	y	n	n	n	27.52 ± 0.70
SNR_51	23:57:42.1	−32:35:33.8	15.4 ± 0.2	–	−0.62 ± 0.02	−0.67 ± 0.02	–	0.80	n	y	n	n	n	21.22 ± 0.42
SNR_52	23:57:42.1	−32:34:50.4	2.4 ± 0.1	–	−0.31 ± 0.04	−0.71 ± 0.05	–	0.80	y	y	n	n	n	22.21 ± 0.60
SNR_53	23:57:42.1	−32:35:21.7	22.2 ± 0.2	–	−0.60 ± 0.01	−0.65 ± 0.01	–	1.15	n	y	n	n	n	25.93 ± 0.48
SNR_54	23:57:42.3	−32:35:04.2	4.2 ± 0.1	1.86 ± 0.07	−0.24 ± 0.03	−0.56 ± 0.03	0.05 ± 0.05	1.48	y	y	y	n	y	25.57 ± 0.68
SNR_55	23:57:42.4	−32:35:18.5	92.0 ± 0.3	–	−0.64 ± 0.00	−0.79 ± 0.00	–	2.50	n	y	n	n	n	20.74 ± 0.47
SNR_56	23:57:42.4	−32:36:02.2	2.3 ± 0.1	–	−0.51 ± 0.03	−0.72 ± 0.04	–	0.80	n	y	n	n	n	22.49 ± 0.54
